Station Name,LID,Modes of Transports
"Schönecker Weg, Saarbrücken","A=1@O=Schönecker Weg, Saarbrücken@X=6961282@Y=49226836@U=80@L=10046@",128
"Deutsch-Franz. Garten DFG Nord, Saarbrücken","A=1@O=Deutsch-Franz. Garten DFG Nord, Saarbrücken@X=6961435@Y=49229856@U=80@L=10014@",128
"Hauptfriedhof, Saarbrücken","A=1@O=Hauptfriedhof, Saarbrücken@X=6962083@Y=49207752@U=80@L=10029@",640
"Messegelände, Saarbrücken","A=1@O=Messegelände, Saarbrücken@X=6962613@Y=49232130@U=80@L=10036@",1152
"Rastpfuhl, Saarbrücken Malstatt","A=1@O=Rastpfuhl, Saarbrücken Malstatt@X=6963368@Y=49250504@U=80@L=10511@",1216
"Enkircher Weg, Saarbrücken Malstatt","A=1@O=Enkircher Weg, Saarbrücken Malstatt@X=6963377@Y=49253444@U=80@L=10505@",1152
"Folsterhöhe Siedlung, Saarbrücken","A=1@O=Folsterhöhe Siedlung, Saarbrücken@X=6963647@Y=49222863@U=80@L=10101@",640
"Ahrstr., Saarbrücken Malstatt","A=1@O=Ahrstr., Saarbrücken Malstatt@X=6963665@Y=49246396@U=80@L=10520@",1152
"Neue Bremm, Saarbrücken","A=1@O=Neue Bremm, Saarbrücken@X=6964150@Y=49210502@U=80@L=10037@",640
"Ober der Deutschmühl, Saarbrücken","A=1@O=Ober der Deutschmühl, Saarbrücken@X=6964312@Y=49229757@U=80@L=10039@",128
"Hirtenwies, Saarbrücken","A=1@O=Hirtenwies, Saarbrücken@X=6964689@Y=49220759@U=80@L=10102@",640
"Bernkasteler Platz, Saarbrücken Malstatt","A=1@O=Bernkasteler Platz, Saarbrücken Malstatt@X=6964950@Y=49256554@U=80@L=10519@",128
"Dresdener Str., Saarbrücken Malstatt","A=1@O=Dresdener Str., Saarbrücken Malstatt@X=6965552@Y=49246190@U=80@L=10206@",1152
"Heidenhübel, Saarbrücken","A=1@O=Heidenhübel, Saarbrücken@X=6967296@Y=49215213@U=80@L=10030@",128
"Am Gilbenkopf, Saarbrücken Malstatt","A=1@O=Am Gilbenkopf, Saarbrücken Malstatt@X=6967341@Y=49255359@U=80@L=10502@",1152
"Schaumbergstr., Saarbrücken Malstatt","A=1@O=Schaumbergstr., Saarbrücken Malstatt@X=6967611@Y=49251394@U=80@L=10514@",1152
"Industriegebiet Süd, Saarbrücken","A=1@O=Industriegebiet Süd, Saarbrücken@X=6967710@Y=49213208@U=80@L=10032@",640
"Pariser Platz/St.Paulus, Saarbrücken Malstatt","A=1@O=Pariser Platz/St.Paulus, Saarbrücken Malstatt@X=6967728@Y=49246738@U=80@L=10202@",1216
"Richtweg, Saarbrücken","A=1@O=Richtweg, Saarbrücken@X=6968303@Y=49232580@U=80@L=10042@",1152
"Parsevalstr., Saarbrücken","A=1@O=Parsevalstr., Saarbrücken@X=6968420@Y=49227411@U=80@L=10040@",1152
"Abtsdell, Saarbrücken","A=1@O=Abtsdell, Saarbrücken@X=6968465@Y=49230953@U=80@L=10006@",128
"Metzer Brücke, Saarbrücken Malstatt","A=1@O=Metzer Brücke, Saarbrücken Malstatt@X=6968465@Y=49240212@U=80@L=10210@",1152
"Südring, Saarbrücken","A=1@O=Südring, Saarbrücken@X=6968950@Y=49218116@U=80@L=10050@",640
"Johanna-Kirchner-Haus, Saarbrücken Malstatt","A=1@O=Johanna-Kirchner-Haus, Saarbrücken Malstatt@X=6969121@Y=49250082@U=80@L=10507@",1152
"Finkenstr., Saarbrücken Malstatt","A=1@O=Finkenstr., Saarbrücken Malstatt@X=6970649@Y=49257147@U=80@L=10506@",1152
"Brückenstr., Saarbrücken Malstatt","A=1@O=Brückenstr., Saarbrücken Malstatt@X=6970928@Y=49239565@U=80@L=10205@",1152
"Taunusstr., Saarbrücken Malstatt","A=1@O=Taunusstr., Saarbrücken Malstatt@X=6971090@Y=49248059@U=80@L=10211@",1152
"Deutsch-Franz. Garten DFG Süd, Saarbrücken","A=1@O=Deutsch-Franz. Garten DFG Süd, Saarbrücken@X=6971674@Y=49221047@U=80@L=10021@",1664
"Betriebshof (Gelände), Saarbrücken","A=1@O=Betriebshof (Gelände), Saarbrücken@X=6971701@Y=49233650@U=80@L=110012@",128
"Steinbachstr., Saarbrücken Malstatt","A=1@O=Steinbachstr., Saarbrücken Malstatt@X=6972150@Y=49258397@U=80@L=10311@",1152
"Cottbuser Platz, Saarbrücken Malstatt","A=1@O=Cottbuser Platz, Saarbrücken Malstatt@X=6972276@Y=49242909@U=80@L=10203@",1216
"Westrichweg, Saarbrücken Malstatt","A=1@O=Westrichweg, Saarbrücken Malstatt@X=6972528@Y=49247808@U=80@L=10522@",128
"Ausbildungszentrum, Saarbrücken","A=1@O=Ausbildungszentrum, Saarbrücken@X=6972915@Y=49211500@U=80@L=10009@",640
"Oberer Jenneweg, Saarbrücken Malstatt","A=1@O=Oberer Jenneweg, Saarbrücken Malstatt@X=6972977@Y=49250226@U=80@L=10521@",128
"Betriebshof Saarbahn, Saarbrücken","A=1@O=Betriebshof Saarbahn, Saarbrücken@X=6973391@Y=49233650@U=80@L=10012@",1152
"Deutschhausweg, Saarbrücken","A=1@O=Deutschhausweg, Saarbrücken@X=6973490@Y=49231591@U=80@L=10016@",128
"Tiroler Viertel, Saarbrücken","A=1@O=Tiroler Viertel, Saarbrücken@X=6974470@Y=49223132@U=80@L=10019@",1664
"Lulustein, Saarbrücken","A=1@O=Lulustein, Saarbrücken@X=6974569@Y=49226377@U=80@L=10035@",1152
"Malstatter Markt, Saarbrücken","A=1@O=Malstatter Markt, Saarbrücken@X=6975090@Y=49239241@U=80@L=10209@",128
"Am Emmersberg, Saarbrücken Malstatt","A=1@O=Am Emmersberg, Saarbrücken Malstatt@X=6975216@Y=49255583@U=80@L=10305@",1664
"ZF Tor 1, Saarbrücken","A=1@O=ZF Tor 1, Saarbrücken@X=6975512@Y=49218107@U=80@L=10052@",1664
"Rußhütte Schule, Saarbrücken Malstatt","A=1@O=Rußhütte Schule, Saarbrücken Malstatt@X=6975539@Y=49258208@U=80@L=10302@",1664
"Heinrichshausweg, Saarbrücken Malstatt","A=1@O=Heinrichshausweg, Saarbrücken Malstatt@X=6975548@Y=49260267@U=80@L=10308@",1664
"Deutschherrnstr., Saarbrücken","A=1@O=Deutschherrnstr., Saarbrücken@X=6975638@Y=49232148@U=80@L=10017@",1152
"Gemeinschaftsschule Bellevue, Saarbrücken","A=1@O=Gemeinschaftsschule Bellevue, Saarbrücken@X=6975962@Y=49226251@U=80@L=10010@",1024
"Rußhütte ev. Kirche, Saarbrücken Malstatt","A=1@O=Rußhütte ev. Kirche, Saarbrücken Malstatt@X=6976546@Y=49252563@U=80@L=10301@",1664
"Bellevue, Saarbrücken","A=1@O=Bellevue, Saarbrücken@X=6976726@Y=49225703@U=80@L=10001@",1664
